CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3911722,3913040,194,373,246,426,1,59
3913040,3911722,348,441,246,426,1,59
3911722,3913042,194,373,100,338,1,104
3913042,3911722,1,230,246,426,1,104
3911722,3913045,194,373,246,426,1,59
3913045,3911722,1,230,246,426,1,59
3911722,3913064,194,373,190,286,1,88
3913064,3911722,401,417,246,426,1,88
3911722,3913051,194,373,246,426,1,59
3913051,3911722,1,230,246,426,1,59
3911722,3911932,194,373,106,220,1,204
3911932,3911722,354,443,246,426,1,204
3911722,3911705,194,373,100,337,1,105
3911705,3911722,194,375,246,426,1,105
3911722,3913058,194,373,246,426,1,59
3913058,3911722,1,230,246,426,1,59
3911722,3911689,194,373,156,297,1,100
3911689,3911722,210,374,246,426,1,100
3911722,3913062,194,373,246,426,1,59
3913062,3911722,1,230,246,426,1,59
3911722,3911729,194,373,114,442,1,173
3911729,3911722,412,377,246,426,1,173
3911722,3913069,194,373,246,426,1,59
3913069,3911722,1,230,246,426,1,59
3911722,3913079,194,373,190,286,1,88
3913079,3911722,401,417,246,426,1,88
3911722,3913073,194,373,246,426,1,59
3913073,3911722,1,230,246,426,1,59
3911722,3913086,194,373,100,337,1,105
3913086,3911722,194,375,246,426,1,105
3911722,3913091,194,373,106,220,1,204
3913091,3911722,358,442,246,426,1,204
3911722,3913077,194,373,246,426,1,59
3913077,3911722,1,230,246,426,1,59
3911722,3913093,194,373,190,286,1,88
3913093,3911722,401,417,246,426,1,88
3911722,3911709,194,373,100,314,1,170
3911709,3911722,194,369,246,426,1,170
3911722,3913104,194,373,106,220,1,204
3913104,3911722,357,437,246,426,1,204
3911722,3913101,194,373,100,337,1,105
3913101,3911722,194,375,246,426,1,105
3911722,3913081,194,373,246,426,1,59
3913081,3911722,347,426,246,426,1,59
3911722,3913110,194,373,156,297,1,100
3913110,3911722,210,374,246,426,1,100
3911722,3911704,194,373,100,338,1,104
3911704,3911722,194,375,246,426,1,104
3911722,3913083,194,373,246,426,1,59
3913083,3911722,1,230,246,426,1,59
3911722,3913121,194,373,100,314,1,170
3913121,3911722,194,369,246,426,1,170
3911722,3913117,194,373,190,286,1,88
3913117,3911722,401,417,246,426,1,88
3911722,3913124,194,373,156,297,1,100
3913124,3911722,210,374,246,426,1,100
3911722,3913088,194,373,246,426,1,59
3913088,3911722,1,230,246,426,1,59
3911722,3913125,194,373,106,220,1,204
3913125,3911722,359,437,246,426,1,204
3911722,3913085,194,373,121,484,1,216
3913085,3911722,415,377,246,426,1,216
3911722,3913137,194,373,100,314,1,170
3913137,3911722,194,369,246,426,1,170
3911722,3913139,194,373,156,297,1,100
3913139,3911722,210,374,246,426,1,100
3911722,3911900,194,373,109,220,1,201
3911900,3911722,166,390,246,426,1,201
